texto,prioridad
"Cisterna de almacenamiento de agua en mercado con tapa abierta, polvo y aves adentro",Alta
Denuncia por uso de área verde como estacionamiento informal de empresa de la zona,Media
Consulta sobre cómo puedo presentar sugerencias para mejorar los servicios municipales,Baja
Requiero verificación de cumplimiento de medidas correctivas ordenadas hace 2 meses a local infractor,Media
Solicito copia simple de mi recibo de arbitrios del primer trimestre 2025,Baja
Reclamo por descuento por pronto pago no aplicado pese a pagar dentro del plazo establecido,Media
Quiero información sobre si hay programa de apoyo para adultos mayores en situación de pobreza,Baja
"Semáforo principal en cruce de Av. Aviación y Av. México completamente apagado hace 3 días, accidentes diarios",Alta
"Empresa textil de Gamarra descarga colorantes al desagüe pluvial, agua turbia llega a acequia de parque infantil",Alta
Empresa constructora usa vía pública como depósito de materiales sin autorización hace 2 meses,Media
Queja por abandono de residuos sólidos en terreno eriazo de Jr. Renovación hace semanas,Media
"Deuda de predial a nombre de propietario fallecido hace 3 años, herederos necesitan regularizar situación",Media
Reclamo por demora injustificada en entrega de constancia de no adeudo solicitada hace 4 semanas,Media
Reclamo formal por impuesto predial 2025 calculado sobre área mayor a la real de mi predio,Media
Consulta sobre si existe descuento por pago anticipado de impuesto predial anual,Baja
"Local de expendio de alimentos sin refrigeración ni ventilación, plagas visibles durante inspección vecinal",Alta
Pregunta sobre si puedo sacar cita virtual para mesa de partes,Baja
"Edificación vecina excavó más de lo permitido y debilitó cimientos de mi vivienda, aparecieron grietas esta semana",Alta
Consulta sobre requisitos para registrar un comité de vaso de leche nuevamente,Baja
Consulta sobre el proceso para obtener constancia de predio urbano para trámite notarial,Baja
Quiero saber si la municipalidad tiene asistencia jurídica gratuita para inquilinos,Baja
Malla de protección de obra desprendida cae sobre vereda transitada en Av. Aviación cuadra 12,Alta
Necesito saber el procedimiento para cambiar mi domicilio fiscal en el padrón municipal,Baja
Pregunta sobre el procedimiento para solicitar audiencia con el alcalde o gerentes,Baja
"Muro de adobe con fisuras en X visible desde la calle, apoya piso superior con inquilinos",Alta
Fuga lenta de agua en tubería de Av. Iquitos ha formado cavidad bajo el pavimento ya visible,Alta
Construcción en zona de protección de canal sin licencia obstruye flujo de drenaje pluvial,Alta
Solicito verificación de identidad de persona que presentó documentos falsos en mesa de partes,Media
Queja porque empresa instaló postes en mi vereda sin notificarme ni pedir permiso,Media
"Reclamo porque resolución de aprobación tiene error en dirección del predio, afecta inscripción",Media
Quiero saber si la municipalidad tiene convenio con notarías para reducir costos,Baja
Consulta sobre qué trámites pueden hacer mis familiares en mi nombre con poder simple,Baja
Tubería de desagüe rota bajo pista en Av. Iquitos genera hundimiento progresivo del pavimento,Alta
Reclamo por daño en vereda de mi vivienda causado por obra municipal no reparada aún,Media
"Corte total de agua potable en 3 cuadras de Jr. Huánuco desde hace 6 días, familias con niños y adultos mayores sin servicio",Alta
"Canal de regadío obstruido 10 días antes de temporada de lluvias, inunda 2 cuadras con poca agua",Alta
Pregunta sobre cómo obtener constancia de estudios de colegio municipal para apostilla,Baja
Reclamo por pago de derecho de tramitación cobrado dos veces en ventanilla el mismo día,Media
Desagüe industrial de taller textil va directo a acequia que pasa por parque de niños,Alta
"Reclamo por expediente derivado a dependencia incorrecta, ya lleva 2 meses sin avance",Media
Necesito saber cuál es el canal oficial para hacer denuncias anónimas de corrupción,Baja
"Local de karaoke opera hasta las 3am con música a alto volumen, tiene licencia solo hasta las 11pm",Media
"Cobro de arbitrios de predio demolido hace un año, adjunto certificado de demolición aprobado",Media
"Expediente de licencia de funcionamiento lleva 90 días sin resolución, plazo legal máximo ya se venció",Alta
Necesito saber si puedo autorizar a un tercero para recoger mis documentos aprobados,Baja
Retraso de 5 meses en resolución de recurso de reclamación tributaria con plazo legal claro,Alta
Necesito saber dónde consultar el padrón actualizado de juntas vecinales reconocidas,Baja
Pregunta sobre cómo reportar una luminaria apagada por la aplicación o web municipal,Baja
Pregunta sobre cómo consultar el TUPA actualizado con los costos de trámites vigentes,Baja
"Pago duplicado de arbitrios registrado en sistema, solicito devolución del monto cobrado dos veces",Media
Solicito información sobre el reglamento interno de convivencia vecinal del distrito,Baja
Solicito prórroga de plazo para subsanar observaciones de expediente por hospitalización,Media
Reclamo por recibo de arbitrios que incluye predio que no es de mi propiedad hace 2 años,Media
"Licencia de funcionamiento para academia de idiomas en Av. México, observaciones no sustentadas por la municipalidad",Media
Necesito información sobre cómo participar en el presupuesto participativo municipal,Baja
Notificación de embargo de cuenta por deuda sin proceso administrativo previo completo,Alta
Quiero saber si debo pagar impuesto predial por un terreno sin construir que heredé,Baja
Necesito saber si existe número de atención al ciudadano disponible los fines de semana,Baja
Semáforo intermitente en cruce de Jr. Huánuco con Av. Grau genera confusión en conductores,Media
Baranda de seguridad en pasarela elevada de Jr. Huánuco completamente desprendida de su anclaje,Alta
Solicito autorización de uso de vía para actividad cultural de la junta vecinal el próximo mes,Media
Solicito inspección de obra que supera retiro municipal según los parámetros publicados,Media
Pido inspección de obra que supera altura permitida según parámetros de zonificación vigente,Media
Solicito información sobre el cronograma de obras públicas programadas para este año,Baja
Empresa constructora no respetó retiro obligatorio y avanzó sobre vereda pública sin autorización,Alta
Pregunta sobre el proceso para presentar iniciativa vecinal ante el concejo municipal,Baja
Pregunta sobre si puedo consultar el estado de mi expediente en la web municipal,Baja
"Muro de contención en quebrada de El Agustino presenta desplazamiento lateral, temporada de lluvias se acerca",Alta
"Necesito saber si ya fue aprobada mi licencia de anuncio, expediente ingresado el 15 de abril",Baja
"Solicito acceso a expediente propio N° 2025-4521, subgerencia niega acceso sin justificación legal",Media
Solicito información sobre convenios vigentes con bancos para pago de tributos municipales,Baja
"Expediente de ampliación de colegio público con plazo de aprobación vencido, obra financiada sin poder iniciar",Alta
Necesito saber si existe atención de lunes a sábado en alguna oficina de la municipalidad,Baja
Requiero copia de resolución que aprobó mi licencia de funcionamiento hace 3 años,Baja
Contaminación de pileta pública por conexión clandestina al sistema de regadío con aguas servidas,Alta
Solicito información sobre el programa de huertos urbanos que vi anunciado en redes,Baja
Solicito constancia de posesión para trámite de formalización de propiedad ante Cofopri,Media
"Solicito licencia de funcionamiento para lavandería en Jr. Ayacucho, todos los documentos listos",Media
Grietas en piso de edificio de 6 pisos en Av. Iquitos aparecidas tras excavación de obra vecina,Alta
Quiero saber la dirección exacta de la oficina de catastro municipal,Baja
"Autorización para instalar letrero luminoso en fachada de galería de Gamarra, 20 días sin respuesta",Media
Queja por vendedores ambulantes que bloquean rampa de discapacitados en local municipal,Media
Queja por orientación incorrecta de personal que me hizo pagar tasa equivocada dos veces,Media
"Deuda tributaria ejecutada sobre predio que fue transferido hace 4 años, dueño actual pide solución urgente",Alta
Consulta sobre si puedo solicitar copia de actas del concejo municipal por correo,Baja
Quiero información sobre los requisitos para que una calle sea iluminada por el municipio,Baja
Necesito copia de constancia de no adeudo emitida el año pasado para renovarla,Baja
Denuncia por instalación de antena de telecomunicaciones sin autorización en azotea Jr. Huánuco,Media
"Plaga severa de ratas en mercado municipal afecta puestos de alimentos, ya hay quejas de compradores intoxicados",Alta
"Solicito verificación de medidas de mi predio antes de iniciar obra, catastro tiene datos distintos",Media
Necesito confirmar si mi solicitud de certificado de parámetros fue recibida correctamente,Baja
"Talud natural sin muro de contención en zona de 50 viviendas, lluvias de esta semana lo saturaron",Alta
"Pasarela peatonal sobre acequia en Av. México presenta oxidación severa y tablones podridos, cruzan estudiantes a diario",Alta
Expediente de habilitación urbana con financiamiento comprometido y plazo de desembolso esta semana,Alta
Consulta sobre requisitos para inscribirse en el registro de artesanos del distrito,Baja
"Permiso temporal para ocupar vereda con mesas de mi café los fines de semana, solicité hace 3 semanas",Media
"Arbol seco con cavidad en tronco en parque infantil, rama de 4 metros sobre tobogán de niños",Alta
Denuncia por taller de carpintería en zona residencial que opera sin licencia de funcionamiento,Media
"Queja por acequia que pasa por parque sin tapa protectora, niños pueden caer fácilmente",Media
"Berma central de Av. México con plantas muertas y basura acumulada, deteriora imagen del distrito",Media
"Reclamo porque funcionario me orientó mal y pagué tasa incorrecta, solicito devolución",Media
"Edificio con fisuras estructurales por sismo del mes pasado, propietario niega evaluación a inquilinos",Alta
Necesito el correo electrónico de la oficina de catastro para enviar documentos,Baja
Árbol de gran tamaño en parque Balconcillo con raíz levantada y tronco inclinado sobre vivienda vecina,Alta
Necesito saber el horario de la subgerencia de obras privadas para ir esta semana,Baja
Quiero información sobre el proceso para regularizar una construcción antigua sin licencia,Baja
Quiero verificar si mi pago de arbitrios del mes pasado ya está registrado en el sistema,Baja
"Solicito bacheo de bache en Jr. San Cristóbal cuadra 5, lleva 6 semanas sin atención",Media
Necesito saber si hay servicio de asesoría gratuita en temas de propiedad y catastro,Baja
Quiero saber a qué oficina debo dirigirme para consultar sobre deuda de arbitrios antigua,Baja
Necesito saber si existen beneficios tributarios para inmuebles declarados patrimonio,Baja
Pregunta sobre cómo obtener certificado de residencia para trámite de matrícula escolar,Baja
Necesito información sobre si existe convenio con el colegio de arquitectos para trámites,Baja
Necesito saber cuál es el plazo máximo para que resuelvan mi trámite de certificado,Baja
Pregunta sobre dónde puedo ver el estado de mi expediente en línea,Baja
Denuncia por local de cambio de aceite que vierte residuos al canal pluvial de Jr. Ayacucho,Media
Solicito habilitación de sardineles en Av. México para proteger zona escolar de vehículos,Media
"Certificado de numeración para vivienda nueva en Urb. Balconcillo, necesito para conexión de servicios",Media
Solicito reposición de señales de tránsito derribadas por camión en Av. Aviación cuadra 8,Media
Consulta sobre si existe sistema de alertas o notificaciones para vencimiento de licencias,Baja
Solicito información sobre el programa de regularización de licencias 2026,Baja
Estructura metálica de techado de paradero municipal con soldadura rota colgando a 3 metros de altura,Alta
"Estructura de techado de paradero en Av. México con soldaduras rotas, cae con viento fuerte",Alta
"Señales de tránsito derribadas en Av. Iquitos luego de obras de agua, no fueron repuestas",Media
"Poste de alumbrado público inclinado a 45 grados en Jr. Huánuco 450, puede caer sobre los transeúntes en cualquier momento",Alta
Solicito orientación sobre cómo presentar queja formal contra funcionario municipal,Baja
Semáforo completamente apagado 4 días en cruce de alta velocidad Av. Aviación y Av. 28 de Julio,Alta
Necesito saber qué tipo de constancia necesito para trámite de alimentos en ministerio,Baja
Queja por empresa que instala carteles publicitarios sin autorización en postes de la vía pública,Media
"Obstrucción total de dren maestro de la urbanización, nivel de agua en buzones casi al ras de la tapa",Alta
Solicito inspección de predio con actividad comercial en zona exclusivamente residencial según zonificación,Media
"Recurso de apelación presentado hace 4 meses sin respuesta, plazo reglamentario superado en 60 días",Alta
"Desagüe colapsado en Urb. Balconcillo lleva 4 días sin atención, aguas servidas salen por buzones a la calle",Alta
Consulta sobre qué hace la subgerencia de desarrollo urbano exactamente,Baja
Reclamo porque me aplicaron sanción por infracción ya levantada con resolución adjunta,Media
Denuncia por publicidad en fachada que supera tamaño autorizado en licencia vigente,Media
Reclamo por notificación de multa sin proceso de fiscalización previo documentado,Media
Árbol de 12 metros inclinado 30 grados sobre techo de vivienda en Jr. San Cristóbal tras viento,Alta
"Casa de adobe en esquina de Jr. Cusco con rajaduras estructurales desde sismo, municipalidad debe evaluar",Alta
Solicito el directorio actualizado de funcionarios municipales para mi tesis,Baja
Consulta sobre el estado de mi expediente de licencia N° 2025-0892 ingresado hace 20 días,Baja
Requiero inspección de matadero informal denunciado por vecinos en zona industrial de La Victoria,Media
Queja por local de comida rápida que descarga aceite usado al desagüe público de la calle,Media
Plaga de roedores en mercado central con madrigueras visibles bajo los puestos de comida,Alta
"Zona de riesgo por deslizamiento sin cercado ni señalización en Jr. El Pino, camino escolar pasa por ahí",Alta
Denuncia por construcción que avanza fuera del perímetro autorizado según plano aprobado,Media
"Licencia de anuncio publicitario para fachada de mi local en Gamarra, primera vez que la solicito",Media
"Tubería de gas de red pública con olor a gas en Jr. Huánuco, empresa no responde en 2 días",Alta
"Tubería de agua potable rota en Av. México lleva 3 días botando agua, hueco en pista crece y hay riesgo de hundimiento",Alta
Muro de contención de 4 metros sin refuerzo en Jr. El Pino a punto de ceder con humedad acumulada,Alta
Vecino realizó demolición sin licencia dejando medianera de 6 metros sin apuntalamiento ni protección,Alta
Solicito inspección de local comercial que usa zona de carga como estacionamiento no autorizado,Media
Consulta sobre los pasos para obtener certificado de zonificación de mi predio,Baja
Pido constatación de daños en vereda ocasionados por empresa de telecomunicaciones que niega responsabilidad,Media
Solicito copia certificada de plano de mi vivienda registrado en catastro municipal,Baja
